source_id,title,priority,category,url,status,provider,quality_score,requires_auth,http_status,error_reason,recommended_action,recommended_assignee
WEBV2-001,高等学校实验室安全规范,P0,标准,https://www.moe.gov.cn/srcsite/A16/moe_784/202302/t20230220_1045998.html,blocked,jina,0.9208,true,200,jina_status_200,manual_capture_with_access,collector
WEBV2-016,北京大学医学部实验室安全管理制度（PDF）,P0,制度,https://lab.bjmu.edu.cn/docs/2023-12/20231222131430913902.pdf,blocked,jina,0.9527,true,200,jina_status_200,manual_capture_with_access,collector
WEBV2-012,Safety Data Sheets and Certificates,P1,SDS,https://www.thermofisher.com/us/en/home/support/documents-certificates.html,blocked,jina,0.9505,true,200,jina_status_200,manual_capture_with_access,collector
WEBV2-002,高等学校实验室安全分级分类管理办法（试行）,P0,制度,https://www.moe.gov.cn/srcsite/A16/s7062/202404/t20240419_1126415.html,ok,jina,0.8641,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-003,国家危险废物名录（2021年版）,P0,标准,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202011/t20201127_810202.html,ok,jina,0.9247,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-004,危险废物排除管理清单（2021年版）,P0,制度,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202112/t20211203_962984.html,ok,jina,0.9273,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-005,病原微生物实验室生物安全管理条例（法规页面）,P0,制度,https://www.mee.gov.cn/ywgz/fgbz/xzfg/202303/t20230316_1019776.shtml,ok,jina,0.9762,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-006,易制毒化学品管理条例,P0,制度,https://www.gov.cn/gongbao/content/2005/content_91170.htm,ok,jina,0.9706,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-007,危险化学品目录（2015版）实施指南解读,P0,标准,https://www.mem.gov.cn/gk/zcjd/201503/t20150331_233183.shtml,ok,jina,0.9375,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-008,应急管理部关于调整《危险化学品目录（2015版）》中柴油部分条目的通知,P0,制度,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202212/t20221205_428008.shtml,ok,jina,0.9235,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-009,WHO Laboratory biosafety manual (4th edition),P0,标准,https://www.who.int/publications/i/item/9789240011311,ok,jina,0.9461,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-010,Biosafety in Microbiological and Biomedical Laboratories (BMBL),P0,标准,https://www.cdc.gov/labs/bmbl/index.html,ok,jina,0.9504,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-011,Occupational exposure to hazardous chemicals in laboratories (29 CFR 1910.1450),P0,标准,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,ok,jina,0.9483,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-013,Merck Safety Data Sheets,P1,SDS,https://www.merck.com/products/safety-data-sheets/,ok,jina,0.9392,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-014,南京大学实验室安全手册（页面）,P1,通用,https://jw.nju.edu.cn/f2/7e/c24683a586366/page.htm,ok,jina,0.9131,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-015,上海大学实验室安全手册（页面）,P1,通用,https://physics.shu.edu.cn/info/1161/8294.htm,ok,jina,0.9337,false,200,,auto_clean_and_ingest_candidate,cleaner
WEBV2-017,复旦大学实验室安全手册（页面）,P1,通用,https://sds.fudan.edu.cn/_t2392/f4/6b/c17416a455787/page.htm,ok,jina,0.9131,false,200,,auto_clean_and_ingest_candidate,cleaner
