source_id,title,priority,category,url,status,provider,quality_score,requires_auth,http_status,error_reason,encoding_suspect,recommended_action,recommended_assignee
WEB4-001,高等学校实验室安全规范政策通知,P0,标准,https://www.moe.gov.cn/srcsite/A16/moe_784/202302/t20230220_1045996.html,ok,jina,0.1907,false,200,,false,auto_ingest_candidate,cleaner
WEB4-002,高等学校实验室安全规范转载页面,P0,标准,https://www.cernet.edu.cn/ke_yan_yu_fa_zhan/gai_kuang/xin_wen_gong_gao/202302/t20230221_2301697.shtml,ok,jina,0.9709,false,200,,false,auto_ingest_candidate,cleaner
WEB4-003,实验室生物安全管理指导意见,P0,生物,https://www.sz.gov.cn/cn/xxgk/zfxxgj/tzgg/content/post_12542588.html,ok,jina,0.9058,false,200,,false,auto_ingest_candidate,cleaner
WEB4-004,生态环境相关法规网页,P1,通用,https://www.mee.gov.cn/zcwj/gwywj/201802/t20180206_431083.shtml,ok,jina,0.9259,false,200,,false,auto_ingest_candidate,cleaner
WEB4-005,OSHA Laboratory Safety,P0,培训,https://www.osha.gov/laboratory-safety,ok,jina,0.9483,false,200,,false,auto_ingest_candidate,cleaner
WEB4-006,OSHA Laboratory Safety Guidance PDF,P0,标准,https://www.osha.gov/sites/default/files/publications/laboratory_safety_guidance.pdf,ok,jina,0.9486,false,200,,false,auto_ingest_candidate,cleaner
WEB4-007,CDC BMBL overview page,P0,生物,https://www.cdc.gov/labs/BMBL.html,ok,jina,0.9520,false,200,,false,auto_ingest_candidate,cleaner
WEB4-008,CDC BMBL PDF,P0,生物,https://www.cdc.gov/labs/pdf/CDC-BiosafetyMicrobiologicalBiomedicalLaboratories-2020-P.pdf,ok,jina,0.9485,false,200,,false,auto_ingest_candidate,cleaner
WEB4-009,WHO Laboratory biosafety manual 4th edition,P0,生物,https://www.who.int/publications/i/item/9789240011311,ok,jina,0.9463,false,200,,false,auto_ingest_candidate,cleaner
WEB4-011,NIOSH Chemical Safety topic page,P1,化学,https://www.cdc.gov/niosh/topics/chemical-safety/default.html,ok,jina,0.9472,false,200,,false,auto_ingest_candidate,cleaner
WEB4-012,Hazardous waste management guide,P0,化学,https://www.epa.gov/hwgenerators/managing-your-hazardous-waste-guide-small-businesses,ok,jina,0.9501,false,200,,false,auto_ingest_candidate,cleaner
