source_id,title,url,status,fetch_status,provider,status_code,quality_score,error,final_url,fetched_at
WEB6-001,NIOSH Pocket Guide to Chemical Hazards,https://www.cdc.gov/niosh/npg/default.html,ok,ok,jina,200,0.7673,,https://www.cdc.gov/niosh/npg/default.html,2026-03-29T18:16:47+08:00
WEB6-002,NIOSH School Chemistry Laboratory Safety Guide,https://www.cdc.gov/niosh/docs/2007-107/default.html,ok,ok,jina,200,0.7716,,https://www.cdc.gov/niosh/docs/2007-107/default.html,2026-03-29T18:16:47+08:00
WEB6-003,NIOSH Manual of Analytical Methods (NMAM),https://www.cdc.gov/niosh/nmam/,ok,ok,jina,200,0.9433,,https://www.cdc.gov/niosh/nmam/,2026-03-29T18:16:47+08:00
WEB6-004,NIGMS Laboratory Safety Training and Guidelines,https://nigms.nih.gov/training/Pages/Laboratory-Safety-Training-and-Guidelines.aspx,ok,ok,jina,200,0.7170,,https://nigms.nih.gov/training/Pages/Laboratory-Safety-Training-and-Guidelines.aspx,2026-03-29T18:16:47+08:00
WEB6-005,NIH Guidelines for Research Involving Recombinant or Synthetic Nucleic Acid Molecules,https://osp.od.nih.gov/biotechnology/nih-guidelines/,ok,ok,jina,200,0.7522,,https://osp.od.nih.gov/biotechnology/nih-guidelines/,2026-03-29T18:16:48+08:00
WEB6-006,Canadian Biosafety Standard Third Edition,https://www.canada.ca/en/public-health/services/canadian-biosafety-standards-guidelines/third-edition.html,ok,ok,jina,200,0.6839,,https://www.canada.ca/en/public-health/services/canadian-biosafety-standards-guidelines/third-edition.html,2026-03-29T18:16:49+08:00
WEB6-007,Canadian Biosafety Handbook Second Edition,https://www.canada.ca/en/public-health/services/canadian-biosafety-standards-guidelines/handbook-second-edition.html,ok,ok,jina,200,0.9572,,https://www.canada.ca/en/public-health/services/canadian-biosafety-standards-guidelines/handbook-second-edition.html,2026-03-29T18:16:49+08:00
WEB6-008,Singapore Biosafety Information and Guidelines,https://biosafety.moh.gov.sg/resources/information-and-guidelines,ok,ok,jina,200,0.6511,,https://biosafety.moh.gov.sg/resources/information-and-guidelines,2026-03-29T18:16:48+08:00
WEB6-009,Singapore Biosafety Guidelines for Research 2021,https://www.gmac.sg/pdf/Research/Singapore%20Biosafety%20Guidelines%20for%20Research%202021.pdf,ok,ok,jina,200,0.7717,,https://www.gmac.sg/pdf/Research/Singapore%20Biosafety%20Guidelines%20for%20Research%202021.pdf,2026-03-29T18:16:49+08:00
WEB6-010,WHO Laboratory Biosafety Manual 4th Edition publication page Chinese,https://www.who.int/zh/publications/i/item/9789240011311,ok,ok,jina,200,0.9348,,https://www.who.int/zh/publications/i/item/9789240011311,2026-03-29T18:16:49+08:00
WEB6-011,NHC Office Notice on Strengthening Laboratory Biosafety in COVID-19 Routine Control,https://www.gov.cn/zhengce/zhengceku/2020-07/13/content_5526515.htm,ok,ok,jina,200,0.6279,,https://www.gov.cn/zhengce/zhengceku/2020-07/13/content_5526515.htm,2026-03-29T18:16:50+08:00
WEB6-012,ShanghaiTech Laboratory Safety Manual PDF,https://ehs.shanghaitech.edu.cn/_upload/article/files/44/99/9153ed7f455a8d81658b8f675355/43303cde-06cd-41db-8570-f1ac08db354b.pdf,ok,ok,jina,200,0.1937,,https://ehs.shanghaitech.edu.cn/_upload/article/files/44/99/9153ed7f455a8d81658b8f675355/43303cde-06cd-41db-8570-f1ac08db354b.pdf,2026-03-29T18:16:50+08:00
