source_id,title,url,status,fetch_status,provider,status_code,quality_score,error,final_url,fetched_at
WEB7-001,CDC COVID-19 Laboratory Safety Resources,https://www.cdc.gov/covid/php/lab/index.html,ok,ok,jina,200,0.6682,,https://www.cdc.gov/covid/php/lab/index.html,2026-03-29T18:47:29+08:00
WEB7-002,OSHA Fact Sheet Laboratory Safety and the OSHA Laboratory Standard,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,ok,ok,jina,200,0.6843,,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,2026-03-29T18:47:29+08:00
WEB7-003,OSHA Laboratory Safety Publications by Topic,https://www.osha.gov/publications/bytopic/laboratory-safety,ok,ok,jina,200,0.7341,,https://www.osha.gov/publications/bytopic/laboratory-safety,2026-03-29T18:47:29+08:00
WEB7-004,OSHA Laboratory Standards Index,https://www.osha.gov/laboratories/standards,ok,ok,jina,200,0.7229,,https://www.osha.gov/laboratories/standards,2026-03-29T18:47:29+08:00
WEB7-005,CDC Safe Labs Resources and Tools,https://www.cdc.gov/safe-labs/php/resources-tools/index.html,ok,ok,jina,200,0.7966,,https://www.cdc.gov/safe-labs/php/resources-tools/index.html,2026-03-29T18:47:29+08:00
WEB7-006,CDC Strong Laboratory Safety Program,https://www.cdc.gov/labs/strong-lab-safety/index.html,ok,ok,jina,200,0.6970,,https://www.cdc.gov/labs/strong-lab-safety/index.html,2026-03-29T18:47:29+08:00
WEB7-007,CDC Biosafety Trainings,https://www.cdc.gov/safe-labs/php/biosafety-training/index.html,ok,ok,jina,200,0.7875,,https://www.cdc.gov/safe-labs/php/biosafety-training/index.html,2026-03-29T18:47:30+08:00
WEB7-008,UC Berkeley Labs and Research Safety,https://ehs.berkeley.edu/research-safety,ok,ok,jina,200,0.9356,,https://ehs.berkeley.edu/research-safety,2026-03-29T18:47:30+08:00
WEB7-009,Princeton Laboratory Safety Program,https://ehs.princeton.edu/laboratory-research/laboratory-safety,ok,ok,jina,200,0.7157,,https://ehs.princeton.edu/laboratory-research/laboratory-safety,2026-03-29T18:47:30+08:00
WEB7-010,Yale Chemical Safety and Industrial Hygiene,https://ehs.yale.edu/chemical,ok,ok,jina,200,0.7351,,https://ehs.yale.edu/chemical,2026-03-29T18:47:30+08:00
WEB7-011,Imperial College Laboratory Safety Guidance,https://www.imperial.ac.uk/safety/safety-by-topic/laboratory-safety/,ok,ok,jina,200,0.8020,,https://www.imperial.ac.uk/safety/safety-by-topic/laboratory-safety/,2026-03-29T18:47:30+08:00
WEB7-012,UNC Laboratory Safety Program,https://ehs.unc.edu/topics/laboratory-safety/,ok,ok,jina,200,0.8314,,https://ehs.unc.edu/topics/laboratory-safety/,2026-03-29T18:47:30+08:00
WEB7-013,OSHA Hazard Communication Inspection Procedures Directive,https://www.osha.gov/sites/default/files/enforcement/directives/CPL_02-02-079.pdf,ok,ok,jina,200,0.9559,,https://www.osha.gov/sites/default/files/enforcement/directives/CPL_02-02-079.pdf,2026-03-29T18:47:31+08:00
WEB7-014,Stony Brook Laboratory Safety Program,https://ehs.stonybrook.edu/programs/laboratory-safety,ok,ok,jina,200,0.7392,,https://ehs.stonybrook.edu/programs/laboratory-safety,2026-03-29T18:47:31+08:00
