source_id,title,url,status,quality_score,assignee_role,task_type,priority,suggested_action
WEB8-001,OSHA Laboratory Standards,https://www.osha.gov/laboratories/standards,blocked,0.2315,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-001 (OSHA Laboratory Standards) with official mirror or upload original file to manual_sources.
WEB8-002,OSHA Culture of Safety for Laboratories,https://www.osha.gov/laboratories/safety-culture,blocked,0.2307,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-002 (OSHA Culture of Safety for Laboratories) with official mirror or upload original file to manual_sources.
WEB8-003,OSHA Hazard Recognition and Solutions for Laboratories,https://www.osha.gov/laboratories/hazard-recognition-solutions,blocked,0.2330,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-003 (OSHA Hazard Recognition and Solutions for Laboratories) with official mirror or upload original file to manual_sources.
WEB8-004,OSHA Laboratory Additional Resources,https://www.osha.gov/laboratories/resources,blocked,0.2330,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-004 (OSHA Laboratory Additional Resources) with official mirror or upload original file to manual_sources.
WEB8-005,OSHA Laboratory Safety Guidance PDF,https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,blocked,0.2300,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-005 (OSHA Laboratory Safety Guidance PDF) with official mirror or upload original file to manual_sources.
WEB8-006,OSHA Lab Standard Fact Sheet PDF,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,blocked,0.2304,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-006 (OSHA Lab Standard Fact Sheet PDF) with official mirror or upload original file to manual_sources.
WEB8-007,OSHA Chemical Hygiene Plan Fact Sheet PDF,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf,blocked,0.2311,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-007 (OSHA Chemical Hygiene Plan Fact Sheet PDF) with official mirror or upload original file to manual_sources.
WEB8-008,OSHA Chemical Fume Hoods QuickFacts PDF,https://www.osha.gov/sites/default/files/publications/OSHAQUICKFACTS-LAB-SAFETY-CHEMICAL-FUME-HOODS.pdf,blocked,0.2288,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-008 (OSHA Chemical Fume Hoods QuickFacts PDF) with official mirror or upload original file to manual_sources.
WEB8-009,OSHA Biosafety Cabinets Fact Sheet PDF,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-BIOSAFETY-CABINETS.pdf,blocked,0.2315,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-009 (OSHA Biosafety Cabinets Fact Sheet PDF) with official mirror or upload original file to manual_sources.
WEB8-010,OSHA Electrical Hazards in Labs QuickFacts PDF,https://www.osha.gov/sites/default/files/publications/OSHAQUICKFACTS-LAB-SAFETY-ELECTRICAL-HAZARDS.pdf,blocked,0.2307,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-010 (OSHA Electrical Hazards in Labs QuickFacts PDF) with official mirror or upload original file to manual_sources.
WEB8-011,CDC Laboratories About,https://www.cdc.gov/labs/about/index.html,ok,0.4559,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-011 (CDC Laboratories About) into answer/steps/ppe/forbidden/emergency structure.
WEB8-012,CDC Laboratory Services,https://www.cdc.gov/labs/cdc-laboratory-services/index.html,ok,0.2903,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-012 (CDC Laboratory Services) into answer/steps/ppe/forbidden/emergency structure.
WEB8-014,CDC Laboratory Partners and Readiness,https://www.cdc.gov/labs/partners/index.html,ok,0.5416,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-014 (CDC Laboratory Partners and Readiness) into answer/steps/ppe/forbidden/emergency structure.
WEB8-016,CDC CLIA Certificates,https://www.cdc.gov/labs/clia-certificates/index.html,ok,0.5059,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-016 (CDC CLIA Certificates) into answer/steps/ppe/forbidden/emergency structure.
WEB8-017,CDC BMBL 6th Edition,https://www.cdc.gov/labs/bmbl/index.html,ok,0.6612,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-017 (CDC BMBL 6th Edition) into answer/steps/ppe/forbidden/emergency structure.
WEB8-018,CDC Animal Care Regulations and Standards,https://www.cdc.gov/labs/animal-care/index.html,ok,0.4521,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-018 (CDC Animal Care Regulations and Standards) into answer/steps/ppe/forbidden/emergency structure.
WEB8-020,Purdue Chemical Hygiene Plan,https://www.purdue.edu/ehps/rem/laboratory/hazmat/chp.html,ok,0.6842,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-020 (Purdue Chemical Hygiene Plan) into answer/steps/ppe/forbidden/emergency structure.
WEB8-021,Purdue Hazard Communication,https://www.purdue.edu/ehps/rem/laboratory/hazmat/hazcom.html,ok,0.6786,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-021 (Purdue Hazard Communication) into answer/steps/ppe/forbidden/emergency structure.
WEB8-022,Purdue Laboratory SOPs,https://www.purdue.edu/ehps/rem/laboratory/hazmat/sops.html,ok,0.6827,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-022 (Purdue Laboratory SOPs) into answer/steps/ppe/forbidden/emergency structure.
WEB8-023,Purdue Biological Materials Safety,https://www.purdue.edu/ehps/rem/laboratory/hazmat/biological-materials.html,ok,0.6832,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-023 (Purdue Biological Materials Safety) into answer/steps/ppe/forbidden/emergency structure.
WEB8-024,Purdue Chemical Materials Management,https://www.purdue.edu/ehps/rem/laboratory/hazmat/chemical-materials/index.html,ok,0.6854,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-024 (Purdue Chemical Materials Management) into answer/steps/ppe/forbidden/emergency structure.
WEB8-025,Purdue Laboratory Spill Response,https://www.purdue.edu/ehps/rem/laboratory/spills/index.html,ok,0.6695,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-025 (Purdue Laboratory Spill Response) into answer/steps/ppe/forbidden/emergency structure.
WEB8-026,BU Laboratory Safety Program,https://www.bu.edu/research/ethics-compliance/safety/laboratory-safety/,ok,0.1979,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-026 (BU Laboratory Safety Program) into answer/steps/ppe/forbidden/emergency structure.
WEB8-028,BU Biosafety Manual,https://www.bu.edu/research/ethics-compliance/safety/biological-safety/ibc/resources/biosafety-manual/,ok,0.3712,cleaner,rewrite_structured_summary,P2,Manually clean and rewrite WEB8-028 (BU Biosafety Manual) into answer/steps/ppe/forbidden/emergency structure.
WEB8-029,UCSF Chemical Safety,https://ehs.ucsf.edu/labs-research/chemical-safety,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-029 (UCSF Chemical Safety) with official mirror or upload original file to manual_sources.
