source_id,title,url,status,quality_score,assignee_role,task_type,priority,suggested_action
WEB8-001,OSHA Laboratory Standards,https://www.osha.gov/laboratories/standards,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-001 (OSHA Laboratory Standards) with official mirror or upload original file to manual_sources.
WEB8-002,OSHA Culture of Safety for Laboratories,https://www.osha.gov/laboratories/safety-culture,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-002 (OSHA Culture of Safety for Laboratories) with official mirror or upload original file to manual_sources.
WEB8-003,OSHA Hazard Recognition and Solutions for Laboratories,https://www.osha.gov/laboratories/hazard-recognition-solutions,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-003 (OSHA Hazard Recognition and Solutions for Laboratories) with official mirror or upload original file to manual_sources.
WEB8-004,OSHA Laboratory Additional Resources,https://www.osha.gov/laboratories/resources,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-004 (OSHA Laboratory Additional Resources) with official mirror or upload original file to manual_sources.
WEB8-005,OSHA Laboratory Safety Guidance PDF,https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-005 (OSHA Laboratory Safety Guidance PDF) with official mirror or upload original file to manual_sources.
WEB8-006,OSHA Lab Standard Fact Sheet PDF,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-006 (OSHA Lab Standard Fact Sheet PDF) with official mirror or upload original file to manual_sources.
WEB8-007,OSHA Chemical Hygiene Plan Fact Sheet PDF,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-007 (OSHA Chemical Hygiene Plan Fact Sheet PDF) with official mirror or upload original file to manual_sources.
WEB8-008,OSHA Chemical Fume Hoods QuickFacts PDF,https://www.osha.gov/sites/default/files/publications/OSHAQUICKFACTS-LAB-SAFETY-CHEMICAL-FUME-HOODS.pdf,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-008 (OSHA Chemical Fume Hoods QuickFacts PDF) with official mirror or upload original file to manual_sources.
WEB8-009,OSHA Biosafety Cabinets Fact Sheet PDF,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-BIOSAFETY-CABINETS.pdf,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-009 (OSHA Biosafety Cabinets Fact Sheet PDF) with official mirror or upload original file to manual_sources.
WEB8-010,OSHA Electrical Hazards in Labs QuickFacts PDF,https://www.osha.gov/sites/default/files/publications/OSHAQUICKFACTS-LAB-SAFETY-ELECTRICAL-HAZARDS.pdf,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-010 (OSHA Electrical Hazards in Labs QuickFacts PDF) with official mirror or upload original file to manual_sources.
WEB8-011,CDC Laboratories About,https://www.cdc.gov/labs/about/index.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-011 (CDC Laboratories About) with official mirror or upload original file to manual_sources.
WEB8-012,CDC Laboratory Services,https://www.cdc.gov/labs/cdc-laboratory-services/index.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-012 (CDC Laboratory Services) with official mirror or upload original file to manual_sources.
WEB8-013,CDC Laboratories Programs,https://www.cdc.gov/labs/topics-programs/index.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-013 (CDC Laboratories Programs) with official mirror or upload original file to manual_sources.
WEB8-014,CDC Laboratory Partners and Readiness,https://www.cdc.gov/labs/partners/index.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-014 (CDC Laboratory Partners and Readiness) with official mirror or upload original file to manual_sources.
WEB8-015,CDC Laboratory Quality,https://www.cdc.gov/labs/lab-quality/index.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-015 (CDC Laboratory Quality) with official mirror or upload original file to manual_sources.
WEB8-016,CDC CLIA Certificates,https://www.cdc.gov/labs/clia-certificates/index.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-016 (CDC CLIA Certificates) with official mirror or upload original file to manual_sources.
WEB8-017,CDC BMBL 6th Edition,https://www.cdc.gov/labs/bmbl/index.html,blocked,0.0000,collector,replace_link_or_manual_upload,P1,Replace inaccessible source for WEB8-017 (CDC BMBL 6th Edition) with official mirror or upload original file to manual_sources.
