source_id,title,url,status,fetch_status,provider,status_code,quality_score,error,final_url,fetched_at
WEB6-001,NIOSH Pocket Guide to Chemical Hazards,https://www.cdc.gov/niosh/npg/default.html,ok,ok,jina,200,0.9473,,https://www.cdc.gov/niosh/npg/default.html,2026-03-29T17:46:28+08:00
WEB6-002,NIOSH School Chemistry Laboratory Safety Guide,https://www.cdc.gov/niosh/docs/2007-107/default.html,ok,ok,jina,200,0.9430,,https://www.cdc.gov/niosh/docs/2007-107/default.html,2026-03-29T17:46:43+08:00
WEB6-003,NIOSH Manual of Analytical Methods (NMAM),https://www.cdc.gov/niosh/nmam/,ok,ok,jina,200,0.9432,,https://www.cdc.gov/niosh/nmam/,2026-03-29T17:46:44+08:00
WEB6-004,NIGMS Laboratory Safety Training and Guidelines,https://nigms.nih.gov/training/Pages/Laboratory-Safety-Training-and-Guidelines.aspx,ok,ok,jina,200,0.9574,,https://nigms.nih.gov/training/Pages/Laboratory-Safety-Training-and-Guidelines.aspx,2026-03-29T17:46:31+08:00
WEB6-005,NIH Guidelines for Research Involving Recombinant or Synthetic Nucleic Acid Molecules,https://osp.od.nih.gov/biotechnology/nih-guidelines/,ok,ok,jina,200,0.9493,,https://osp.od.nih.gov/biotechnology/nih-guidelines/,2026-03-29T17:46:37+08:00
WEB6-006,Canadian Biosafety Standard Third Edition,https://www.canada.ca/en/public-health/services/canadian-biosafety-standards-guidelines/third-edition.html,blocked,blocked,jina,200,0.9582,jina_status_200,https://www.canada.ca/en/public-health/services/canadian-biosafety-standards-guidelines/third-edition.html,2026-03-29T17:46:38+08:00
WEB6-007,Canadian Biosafety Handbook Second Edition,https://www.canada.ca/en/public-health/services/canadian-biosafety-standards-guidelines/handbook-second-edition.html,blocked,blocked,jina,200,0.9573,jina_status_200,https://www.canada.ca/en/public-health/services/canadian-biosafety-standards-guidelines/handbook-second-edition.html,2026-03-29T17:46:41+08:00
WEB6-008,Singapore Biosafety Information and Guidelines,https://biosafety.moh.gov.sg/resources/information-and-guidelines,ok,ok,jina,200,0.9427,,https://biosafety.moh.gov.sg/resources/information-and-guidelines,2026-03-29T17:46:46+08:00
WEB6-009,Singapore Biosafety Guidelines for Research 2021,https://www.gmac.sg/pdf/Research/Singapore%20Biosafety%20Guidelines%20for%20Research%202021.pdf,blocked,blocked,jina,200,0.9603,jina_status_200,https://www.gmac.sg/pdf/Research/Singapore%20Biosafety%20Guidelines%20for%20Research%202021.pdf,2026-03-29T17:46:45+08:00
WEB6-010,WHO Laboratory Biosafety Manual 4th Edition publication page Chinese,https://www.who.int/zh/publications/i/item/9789240011311,ok,ok,jina,200,0.9346,,https://www.who.int/zh/publications/i/item/9789240011311,2026-03-29T17:46:47+08:00
WEB6-011,China NHC Notice on COVID-19 Laboratory Biosafety Guidance 2nd Edition,https://www.nhc.gov.cn/qjjys/c100016/202001/66ba808179554b53ae569f1bee0eeb5e.shtml,ok,ok,jina,200,0.1895,,https://www.nhc.gov.cn/qjjys/c100016/202001/66ba808179554b53ae569f1bee0eeb5e.shtml,2026-03-29T17:47:01+08:00
WEB6-012,ShanghaiTech Laboratory Safety Manual PDF,https://ehs.shanghaitech.edu.cn/_upload/article/files/44/99/9153ed7f455a8d81658b8f675355/43303cde-06cd-41db-8570-f1ac08db354b.pdf,ok,ok,direct,200,0.8425,,https://ehs.shanghaitech.edu.cn/_upload/article/files/44/99/9153ed7f455a8d81658b8f675355/43303cde-06cd-41db-8570-f1ac08db354b.pdf,2026-03-29T17:47:07+08:00
