id,source_id,quality_score,rewritten
WEB8-011-001,WEB8-011,0.4559,yes
WEB8-012-001,WEB8-012,0.2903,yes
WEB8-013-001,WEB8-013,0.7076,no
WEB8-014-001,WEB8-014,0.5416,yes
WEB8-015-001,WEB8-015,0.7057,no
WEB8-016-001,WEB8-016,0.5059,yes
WEB8-017-001,WEB8-017,0.6612,yes
WEB8-018-001,WEB8-018,0.4521,yes
WEB8-019-001,WEB8-019,0.7414,no
WEB8-020-001,WEB8-020,0.6842,yes
WEB8-021-001,WEB8-021,0.6786,yes
WEB8-022-001,WEB8-022,0.6827,yes
WEB8-023-001,WEB8-023,0.6832,yes
WEB8-024-001,WEB8-024,0.6854,yes
WEB8-025-001,WEB8-025,0.6695,yes
WEB8-026-001,WEB8-026,0.1979,yes
WEB8-027-001,WEB8-027,0.7036,no
WEB8-028-001,WEB8-028,0.3712,yes
