id,title,category,subcategory,lab_type,risk_level,hazard_types,scenario,question,answer,steps,ppe,forbidden,disposal,first_aid,emergency,legal_notes,references,source_type,source_title,source_org,source_version,source_date,source_url,last_updated,reviewer,status,tags,language
KB-1001,实验室安全-通风柜使用,化学,通风柜,化学,2,挥发性;刺激性,处理挥发性或有毒溶剂,通风柜什么时候必须开启？,处理挥发性、刺激性或有毒溶剂时必须开启通风柜，操作时保持前窗在安全刻度内并确认风速报警正常。,检查风速与报警状态;前窗降至安全刻度;在柜内操作;结束后延迟关闭,护目镜;实验服;手套,禁止将头部伸入柜内;禁止在柜内长期存放大量化学品,按MSDS分类收集,如吸入不适，移至通风处并就医,发生大量泄漏按应急预案处理,遵守实验室安全管理制度,SOP-通风柜使用（待补充）,SOP,危险化学品安全管理条例（国务院令第591号）,国务院/应急管理部,待补充,,https://www.mem.gov.cn/fw/flfgbz/xzfg/201209/t20120904_234783.html,2026-03-11,,draft,通风柜;溶剂,zh-CN
KB-1002,危化品-乙醇储存,危化品,储存,化学,3,易燃,乙醇存放与使用,乙醇应如何储存？,乙醇应存放于防火安全柜内，远离热源与明火，容器密闭并贴有清晰标签。,检查容器密封;放入防火柜;远离点火源;标识清楚,护目镜;实验服;手套,禁止靠近明火;禁止与强氧化剂混放,有机废液桶;禁止下水道,溅入眼睛立即冲洗并就医,火情按应急预案处理,遵循危化品管理规定,MSDS-乙醇（待补充）,MSDS,化学品安全数据说明书（SDS）-乙醇,应急管理部化学品登记中心,待补充,,https://hxp.mem.gov.cn/,2026-03-11,,draft,乙醇;易燃,zh-CN
KB-1003,废液处置-有机溶剂,化学,废液处置,化学,3,有机溶剂,有机溶剂废液处理,有机溶剂废液怎么处理？,有机溶剂废液应分类收集于有机废液桶，严禁倒入下水道。,确认废液类型;分类收集;按制度交由危废处置,护目镜;实验服;手套,禁止倒入水槽/下水道,有机废液桶,皮肤接触立即清洗,泄漏按应急预案处理,遵守危废管理制度,危废处置流程（待补充）,制度,危险废物污染防治技术政策,生态环境部,待补充,,https://www.mee.gov.cn/ywgz/gtfwyhxpgl/wfhgql/,2026-03-11,,draft,废液;危废,zh-CN
KB-1004,危险混合-盐酸与漂白水,化学,危险混合,化学,5,有毒气体,危险混合,盐酸和漂白水能混吗？,禁止混合，可能产生有毒气体或剧烈反应。如已混合请立即停止操作并按应急预案处理。,,护目镜;实验服;手套,禁止混合,按危废分类处理,如吸入不适立即移至通风处并就医,按应急预案处理并联系管理人员,遵守实验室安全管理制度,危化品安全制度（待补充）,制度,化学品安全数据说明书（SDS）-盐酸/次氯酸钠,应急管理部化学品登记中心,待补充,,https://hxp.mem.gov.cn/,2026-03-11,,draft,混合禁忌;盐酸;漂白水,zh-CN
KB-1005,明火禁忌-乙醚,化学,明火禁忌,化学,4,易燃;挥发性,易燃溶剂加热,能用酒精灯加热乙醚吗？,禁止明火加热乙醚。易燃溶剂应使用水浴或电热等安全方式，并在通风条件下操作。,,护目镜;实验服;手套,禁止明火加热,有机废液桶,如吸入不适立即移至通风处,发生火情按应急预案处理,遵守实验室安全管理制度,SOP-易燃溶剂操作（待补充）,SOP,化学品安全数据说明书（SDS）-乙醚,应急管理部化学品登记中心,待补充,,https://hxp.mem.gov.cn/,2026-03-11,,draft,易燃;明火,zh-CN
KB-1006,应急-酸液洒漏,化学,泄漏应急,化学,4,腐蚀性,酸液洒漏,酸液洒了怎么处理？,立即隔离现场，佩戴必要PPE，在安全前提下进行通风并使用合适的泄漏应急物资处理，及时报告实验室管理人员。,隔离区域并提醒他人;佩戴PPE;按应急预案处理;报告管理人员,护目镜;防酸手套;实验服,禁止徒手处理;禁止继续实验,按危废流程处置,皮肤接触立即冲洗,启动化学品泄漏应急预案,遵守应急预案,实验室应急预案（待补充）,应急预案,高等学校实验室安全规范（教育部2024）,教育部,待补充,,https://www.moe.gov.cn/srcsite/A04/s7051/202409/t20240912_1151131.html,2026-03-11,,draft,泄漏;酸液,zh-CN
KB-1007,应急-浓酸溅手,化学,灼伤应急,化学,4,腐蚀性,浓酸溅到皮肤,浓酸溅到手上怎么办？,立即用大量清水持续冲洗，尽快脱去被污染的手套/衣物，并联系实验室管理人员或就医。,停止实验;大量清水冲洗;脱去污染物;就医/报告,护目镜;防酸手套;实验服,禁止用不明药剂直接中和,污染物按危废处理,持续冲洗并就医,按应急预案处理并报告,遵守应急预案,实验室应急预案（待补充）,应急预案,高等学校实验室安全规范（教育部2024）,教育部,待补充,,https://www.moe.gov.cn/srcsite/A04/s7051/202409/t20240912_1151131.html,2026-03-11,,draft,灼伤;浓酸,zh-CN
KB-1008,PPE-配制溶液,化学,个人防护,化学,2,化学接触,配制溶液,做配制溶液需要哪些PPE？,一般应佩戴护目镜、实验服和合适的防化手套；若有挥发性溶剂需在通风柜内操作。,,护目镜;实验服;手套,禁止省略PPE,,皮肤接触及时清洗,按应急预案处理,遵守实验室安全管理制度,PPE规范（待补充）,制度,高等学校实验室安全规范（教育部2024）,教育部,待补充,,https://www.moe.gov.cn/srcsite/A04/s7051/202409/t20240912_1151131.html,2026-03-11,,draft,PPE;防护,zh-CN
KB-1009,压缩气体-气瓶固定,化学,气瓶管理,化学,4,高压气体,气瓶存放,气瓶如何固定？,气瓶应使用链条或支架固定，远离热源并佩戴瓶帽；搬运与存放需符合规范。,使用链条/支架固定;远离热源;保持直立并佩戴瓶帽,手套;安全鞋,禁止倾倒;禁止靠近热源,,发生倒瓶或泄漏按应急预案处理,气体泄漏立即撤离并报告,遵守气瓶管理制度,气瓶管理制度（待补充）,制度,危险化学品安全管理条例（国务院令第591号）附：气瓶安全监察规程,国务院/应急管理部,待补充,,https://www.mem.gov.cn/fw/flfgbz/xzfg/201209/t20120904_234783.html,2026-03-11,,draft,气瓶;高压,zh-CN
KB-1010,危废-过期试剂处理,化学,危废处置,化学,3,危废,过期试剂,过期试剂能直接倒掉吗？,不能。过期试剂应按危废分类收集并移交合规处置。,确认类别;密闭标识;交由危废处置,护目镜;实验服;手套,禁止倒入下水道;禁止随意丢弃,危废桶/危废间,接触后及时清洗,泄漏按应急预案处理,遵守危废管理制度,危废处置制度（待补充）,制度,危险废物污染防治相关规定,生态环境部,待补充,,https://www.mee.gov.cn/ywgz/gtfwyhxpgl/wfhgql/,2026-03-11,,draft,危废;过期试剂,zh-CN
KB-1011,电气-高压电源上电,电气,设备操作,电气,4,高压,高压电源启用,高压电源如何上电？,上电前应检查接地与绝缘，确认电缆与负载连接正确，按SOP进行双人确认后再上电。,检查接地与绝缘;确认连接与量程;按SOP双人确认;逐步上电,绝缘手套;护目镜,禁止带电插拔;禁止湿手操作,,触电按应急预案处理,触电或短路立即断电并报告,遵守电气安全规范,高压设备SOP（待补充）,SOP,GB/T 13869-2017 用电安全导则,国家市场监督管理总局/国家标准委,待补充,,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0E0C42CADDB0D3E8DA27FECB80CCDE02,2026-03-11,,draft,高压;电气,zh-CN
KB-1012,应急-触电处置,电气,触电应急,电气,5,触电,触电事故,有人触电了怎么办？,先断电并确保自身安全，再进行隔离与呼救，必要时实施急救并联系医疗或报警。,先断电;用绝缘物隔离;呼叫急救;按应急预案处理,绝缘手套,禁止直接接触触电者,,必要时心肺复苏并就医,立即报告并启动应急预案,遵守应急预案,电气应急预案（待补充）,应急预案,高等学校实验室安全规范（教育部2024）,教育部,待补充,,https://www.moe.gov.cn/srcsite/A04/s7051/202409/t20240912_1151131.html,2026-03-11,,draft,触电;应急,zh-CN
KB-1013,电气-示波器检查,电气,设备检查,电气,3,电气,示波器使用前检查,示波器使用前需要检查什么？,检查电源与接地、探头完好和量程设置，确认被测对象安全后再连接。,检查接地;检查探头;确认量程;再连接被测对象,护目镜,禁止带电插拔,,触电按应急预案处理,短路立即断电并报告,遵守设备使用SOP,示波器使用SOP（待补充）,SOP,GB/T 13869-2017 用电安全导则,国家市场监督管理总局/国家标准委,待补充,,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0E0C42CADDB0D3E8DA27FECB80CCDE02,2026-03-11,,draft,示波器;设备,zh-CN
KB-1014,电气-湿手插电禁忌,电气,违规操作,电气,4,触电,湿手操作电源,可以用湿手插电吗？,不可以。湿手操作电源有触电风险，应确保手部干燥并按规范操作。,,,禁止湿手插拔电源,,触电按应急预案处理,触电立即断电并报警,遵守电气安全规范,电气安全制度（待补充）,制度,GB/T 13869-2017 用电安全导则,国家市场监督管理总局/国家标准委,待补充,,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0E0C42CADDB0D3E8DA27FECB80CCDE02,2026-03-11,,draft,触电;违规,zh-CN
KB-1015,应急-锂电池起火,电气,电池安全,电气,4,火灾,锂电池起火,锂电池起火怎么办？,立即停止实验并断电，隔离现场，在确保安全且受过培训的前提下使用合适灭火器或干砂处理，无法控制立即撤离并报警。,停止实验并断电;隔离现场;按应急预案处置;报警/撤离,护目镜;手套,禁止用水直接喷淋不明电气火源,按危废处理烧毁电池,吸入烟雾不适及时就医,启动火灾应急预案,遵守应急预案,火灾应急预案（待补充）,应急预案,锂离子电池安全规范/危化品安全管理条例相关规定,应急管理部,待补充,,https://www.mem.gov.cn/fw/flfgbz/xzfg/,2026-03-11,,draft,电池;火灾,zh-CN
KB-1016,生物-培养废液处理,生物,废液处置,生物,4,生物污染,细菌培养废液,细菌培养废液怎么处理？,需按生物安全SOP进行灭活处理后再按生物危废流程处置。,按SOP灭活;分类收集;交由危废处置,手套;口罩;护目镜,禁止直接倒入下水道,生物危废桶,污染接触及时清洗并报告,泄漏按生物安全应急预案处理,遵守生物安全管理制度,生物安全SOP（待补充）,SOP,GB 19489-2008 实验室生物安全通用要求,国家市场监督管理总局/国家标准委,待补充,,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=AEC2B0CFFC2BF1B8C7CF1888B77E2FE4,2026-03-11,,draft,生物;废液,zh-CN
KB-1017,生物-操作防护,生物,个人防护,生物,4,感染,生物样品操作,操作前需要做哪些防护？,按生物安全等级要求佩戴手套、口罩、护目镜，并在生物安全柜内操作。,确认生物安全等级;佩戴PPE;在生物安全柜内操作,手套;口罩;护目镜;实验服,禁止在柜外进行高风险操作,按生物危废流程,暴露后立即报告并就医,按生物安全应急预案处理,遵守生物安全管理制度,生物安全规范（待补充）,制度,GB 19489-2008 实验室生物安全通用要求,国家市场监督管理总局/国家标准委,待补充,,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=AEC2B0CFFC2BF1B8C7CF1888B77E2FE4,2026-03-11,,draft,生物安全;PPE,zh-CN
KB-1018,应急-实验室着火,通用,消防应急,通用,4,火灾,实验室起火,实验室着火怎么办？,立即停止实验并切断电源/气源；小火在确保安全的前提下使用灭火器，无法控制时立即撤离并报警。,停止实验;切断电源/气源;使用灭火器或撤离报警,,禁止冒险扑救,,吸入烟雾不适及时就医,启动消防应急预案,遵守应急预案,消防应急预案（待补充）,应急预案,高等学校消防安全管理规定（教育部令第28号）,教育部/公安部,待补充,,https://flk.npc.gov.cn/detail2.html?ZmY4MDgwODE2ZjNjYmIzYzAxNmY0MTZhMjI1MDIxMzg,2026-03-11,,draft,火灾;消防,zh-CN
KB-1019,通用-化学品标签,通用,标识管理,通用,2,管理,化学品标签,化学品标签需要包含什么？,标签应包含名称、浓度、危险性、配制日期和责任人等关键信息。,,,禁止无标签存放,,,,遵守标识管理制度,标识管理制度（待补充）,制度,GB 15258-2009 化学品安全标签编写规定,国家市场监督管理总局/国家标准委,待补充,,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=9C6A99E26AE0CA7E47B4BC9E8DF01F84,2026-03-11,,draft,标签;标识,zh-CN
KB-1020,通用-实验室培训,通用,培训,通用,1,管理,新入实验室,新入实验室要完成哪些培训？,应完成安全培训与考核，关键设备需通过上岗培训后方可操作。,参加培训;通过考核;设备上岗,,禁止未培训上岗,,,,遵守培训制度,培训管理制度（待补充）,制度,高等学校实验室安全规范（教育部2024）,教育部,待补充,,https://www.moe.gov.cn/srcsite/A04/s7051/202409/t20240912_1151131.html,2026-03-11,,draft,培训;管理,zh-CN
KB-1021,通用-危险意图拒答,通用,安全合规,通用,5,违法,危险意图,怎么制造易燃爆炸物？,该问题涉及高风险或违法行为，无法提供帮助。请遵循法律法规与安全规范。,,,禁止寻求或提供违法危险操作,,,,遵守法律法规与安全规范,安全合规政策（待补充）,制度,高等学校实验室安全规范（教育部2024）,教育部,待补充,,https://www.moe.gov.cn/srcsite/A04/s7051/202409/t20240912_1151131.html,2026-03-11,,draft,合规;拒答,zh-CN
KB-1022,废弃物-有机溶剂下水道,化学,废液处置,化学,3,危废,有机溶剂废液,有机溶剂能直接倒入水槽吗？,不能，应按危废分类收集；如不确定请提供具体试剂以便判断。,确认试剂;分类收集;交由危废处置,护目镜;实验服;手套,禁止倒入水槽/下水道,有机废液桶,接触后及时清洗,泄漏按应急预案处理,遵守危废管理制度,危废处置制度（待补充）,制度,危险废物污染防治技术政策,生态环境部,待补充,,https://www.mee.gov.cn/ywgz/gtfwyhxpgl/wfhgql/,2026-03-11,,draft,废液;下水道,zh-CN
KB-1023,化学-配酸顺序,化学,操作规范,化学,3,飞溅,配制酸溶液,配酸时先加水还是先加酸？,一般应先加水后加酸，避免飞溅和放热风险；操作时佩戴PPE并遵循SOP。,先加水;缓慢加入酸;搅拌并控温,护目镜;实验服;手套,禁止将水倒入浓酸,按危废分类,溅到皮肤立即冲洗,按应急预案处理,遵守SOP,配酸SOP（待补充）,SOP,化学品安全数据说明书（SDS）-硫酸/盐酸,应急管理部化学品登记中心,待补充,,https://hxp.mem.gov.cn/,2026-03-11,,draft,配酸;操作,zh-CN
KB-1024,危险混合-过氧化氢与有机溶剂,化学,危险混合,化学,4,爆炸;强氧化,过氧化氢混合,过氧化氢能和有机溶剂混合吗？,禁止混合，可能产生剧烈反应或爆炸风险。,,护目镜;实验服;手套,禁止混合,按危废分类,暴露后及时就医,按应急预案处理,遵守危化品管理规定,MSDS-过氧化氢（待补充）,MSDS,化学品安全数据说明书（SDS）-过氧化氢,应急管理部化学品登记中心,待补充,,https://hxp.mem.gov.cn/,2026-03-11,,draft,过氧化氢;混合禁忌,zh-CN
KB-1025,通用-访问控制,通用,访问管理,通用,1,管理,非本实验室人员进入,非本实验室人员能随便进入吗？,不能。外来人员进入需审批并登记，遵守实验室访问管理要求。,审批;登记;在管理人员陪同下进入,,禁止无审批进入,,,,遵守访问管理制度,访问管理制度（待补充）,制度,高等学校实验室安全规范（教育部2024）,教育部,待补充,,https://www.moe.gov.cn/srcsite/A04/s7051/202409/t20240912_1151131.html,2026-03-11,,draft,访问控制;管理,zh-CN
