id,source_id,quality_score,rewritten
WEB8-001-001,WEB8-001,0.0000,yes
WEB8-001-002,WEB8-001,0.0000,yes
WEB8-001-003,WEB8-001,0.0000,yes
WEB8-002-001,WEB8-002,0.0000,yes
WEB8-002-002,WEB8-002,0.0000,yes
WEB8-002-003,WEB8-002,0.0000,yes
WEB8-002-004,WEB8-002,0.0000,yes
WEB8-003-001,WEB8-003,0.0000,yes
WEB8-003-002,WEB8-003,0.0000,yes
WEB8-003-003,WEB8-003,0.0000,yes
WEB8-003-004,WEB8-003,0.0000,yes
WEB8-003-005,WEB8-003,0.0000,yes
WEB8-004-001,WEB8-004,0.0000,yes
WEB8-004-002,WEB8-004,0.0000,yes
WEB8-005-001,WEB8-005,0.0000,yes
WEB8-005-002,WEB8-005,0.0000,yes
WEB8-005-003,WEB8-005,0.0000,yes
WEB8-005-004,WEB8-005,0.0000,yes
WEB8-005-005,WEB8-005,0.0000,yes
WEB8-005-006,WEB8-005,0.0000,yes
WEB8-005-007,WEB8-005,0.0000,yes
WEB8-005-008,WEB8-005,0.0000,yes
WEB8-005-009,WEB8-005,0.0000,yes
WEB8-005-010,WEB8-005,0.0000,yes
WEB8-005-011,WEB8-005,0.0000,yes
WEB8-005-012,WEB8-005,0.0000,yes
WEB8-005-013,WEB8-005,0.0000,yes
WEB8-005-014,WEB8-005,0.0000,yes
WEB8-005-015,WEB8-005,0.0000,yes
WEB8-005-016,WEB8-005,0.0000,yes
WEB8-005-017,WEB8-005,0.0000,yes
WEB8-005-018,WEB8-005,0.0000,yes
WEB8-005-019,WEB8-005,0.0000,yes
WEB8-005-020,WEB8-005,0.0000,yes
WEB8-005-021,WEB8-005,0.0000,yes
WEB8-005-022,WEB8-005,0.0000,yes
WEB8-005-023,WEB8-005,0.0000,yes
WEB8-005-024,WEB8-005,0.0000,yes
WEB8-005-025,WEB8-005,0.0000,yes
WEB8-005-026,WEB8-005,0.0000,yes
WEB8-005-027,WEB8-005,0.0000,yes
WEB8-005-028,WEB8-005,0.0000,yes
WEB8-005-029,WEB8-005,0.0000,yes
WEB8-005-030,WEB8-005,0.0000,yes
WEB8-005-031,WEB8-005,0.0000,yes
WEB8-005-032,WEB8-005,0.0000,yes
WEB8-005-033,WEB8-005,0.0000,yes
WEB8-005-034,WEB8-005,0.0000,yes
WEB8-005-035,WEB8-005,0.0000,yes
WEB8-005-036,WEB8-005,0.0000,yes
WEB8-005-037,WEB8-005,0.0000,yes
WEB8-005-038,WEB8-005,0.0000,yes
WEB8-005-039,WEB8-005,0.0000,yes
WEB8-005-040,WEB8-005,0.0000,yes
WEB8-005-041,WEB8-005,0.0000,yes
WEB8-005-042,WEB8-005,0.0000,yes
WEB8-005-043,WEB8-005,0.0000,yes
WEB8-005-044,WEB8-005,0.0000,yes
WEB8-005-045,WEB8-005,0.0000,yes
WEB8-005-046,WEB8-005,0.0000,yes
WEB8-005-047,WEB8-005,0.0000,yes
WEB8-005-048,WEB8-005,0.0000,yes
WEB8-005-049,WEB8-005,0.0000,yes
WEB8-005-050,WEB8-005,0.0000,yes
WEB8-005-051,WEB8-005,0.0000,yes
WEB8-005-052,WEB8-005,0.0000,yes
WEB8-005-053,WEB8-005,0.0000,yes
WEB8-005-054,WEB8-005,0.0000,yes
WEB8-005-055,WEB8-005,0.0000,yes
WEB8-005-056,WEB8-005,0.0000,yes
WEB8-005-057,WEB8-005,0.0000,yes
WEB8-005-058,WEB8-005,0.0000,yes
WEB8-005-059,WEB8-005,0.0000,yes
WEB8-005-060,WEB8-005,0.0000,yes
WEB8-005-061,WEB8-005,0.0000,yes
WEB8-005-062,WEB8-005,0.0000,yes
WEB8-005-063,WEB8-005,0.0000,yes
WEB8-005-064,WEB8-005,0.0000,yes
WEB8-005-065,WEB8-005,0.0000,yes
WEB8-005-066,WEB8-005,0.0000,yes
WEB8-005-067,WEB8-005,0.0000,yes
WEB8-005-068,WEB8-005,0.0000,yes
WEB8-005-069,WEB8-005,0.0000,yes
WEB8-005-070,WEB8-005,0.0000,yes
WEB8-005-071,WEB8-005,0.0000,yes
WEB8-005-072,WEB8-005,0.0000,yes
WEB8-005-073,WEB8-005,0.0000,yes
WEB8-005-074,WEB8-005,0.0000,yes
WEB8-005-075,WEB8-005,0.0000,yes
WEB8-005-076,WEB8-005,0.0000,yes
WEB8-005-077,WEB8-005,0.0000,yes
WEB8-005-078,WEB8-005,0.0000,yes
WEB8-005-079,WEB8-005,0.0000,yes
WEB8-005-080,WEB8-005,0.0000,yes
WEB8-005-081,WEB8-005,0.0000,yes
WEB8-005-082,WEB8-005,0.0000,yes
WEB8-005-083,WEB8-005,0.0000,yes
WEB8-005-084,WEB8-005,0.0000,yes
WEB8-005-085,WEB8-005,0.0000,yes
WEB8-005-086,WEB8-005,0.0000,yes
WEB8-005-087,WEB8-005,0.0000,yes
WEB8-005-088,WEB8-005,0.0000,yes
WEB8-005-089,WEB8-005,0.0000,yes
WEB8-005-090,WEB8-005,0.0000,yes
WEB8-005-091,WEB8-005,0.0000,yes
WEB8-005-092,WEB8-005,0.0000,yes
WEB8-005-093,WEB8-005,0.0000,yes
